index,English Word,Valence,Arousal,Dominance,Turkish Word,Joy,Anger,Sadness,Fear,Disgust
12081,oft,0.5,0.308,0.474,sık sık,1.7,1.43,1.4,1.44,1.47
12082,oftentimes,0.571,0.5,0.482,sıklıkla,1.73,1.8,1.73,1.8,1.78
12083,ogre,0.135,0.698,0.51,dev,1.22,2.47,2.34,2.47,2.41
12084,ohdear,0.458,0.519,0.442,Ah hayatım,,,,,
12085,ohgod,0.5,0.557,0.439,Aman Tanrım,,,,,
12086,ohno,0.396,0.475,0.38,Oh hayır,1.44,2.07,2.13,2.17,2.01
12087,ohshit,0.23,0.594,0.343,Kahretsin,,,,,
12088,oil,0.521,0.278,0.306,sıvı yağ,1.77,1.37,1.31,1.37,1.4
12089,oils,0.459,0.229,0.391,yağlar,1.96,1.33,1.29,1.35,1.34
12090,oily,0.276,0.533,0.385,yağlı,1.32,2.08,2.05,1.98,2.23
12091,oink,0.5,0.45,0.289,oink,1.75,1.43,1.37,1.43,1.45
12092,ointment,0.438,0.271,0.398,merhem,1.87,1.39,1.33,1.39,1.42
12093,okra,0.469,0.4,0.362,Bamya,1.82,1.39,1.34,1.4,1.4
12094,olden,0.284,0.213,0.425,eski,1.81,1.39,1.34,1.4,1.4
12095,oldie,0.363,0.363,0.342,ihtiyar,1.93,1.41,1.37,1.43,1.41
12096,oldies,0.438,0.3,0.412,eskiler,1.9,1.38,1.34,1.4,1.39
12097,olfactory,0.602,0.409,0.452,koku alma,1.83,1.42,1.38,1.45,1.42
12098,oligarchy,0.327,0.567,0.741,oligarşi,1.36,2.14,2.08,2.16,2.09
12099,olive,0.571,0.231,0.406,zeytin,2.81,1.21,1.21,1.25,1.19
12100,omega,0.529,0.337,0.526,omega,1.97,1.38,1.34,1.41,1.38
12101,omelet,0.708,0.323,0.315,omlet,2.68,1.3,1.29,1.36,1.26
12102,omen,0.39,0.657,0.583,alamet,1.75,1.61,1.55,1.67,1.57
12103,omgomgomg,0.49,0.551,0.358,omgomgomg,,,,,
12104,ominous,0.255,0.73,0.51,uğursuz,1.33,2.39,2.34,2.6,2.13
12105,omission,0.367,0.333,0.275,ihmal,1.64,1.54,1.49,1.5,1.63
12106,omit,0.33,0.265,0.451,çıkarmak,1.66,1.44,1.4,1.43,1.48
12107,omitted,0.26,0.235,0.211,atlanmış,1.69,1.44,1.4,1.44,1.47
12108,omnibus,0.49,0.41,0.473,omnibüs,1.77,1.4,1.34,1.41,1.41
12109,omnipotence,0.667,0.793,0.866,her şeye gücü yetme,2.58,1.41,1.36,1.5,1.33
12110,omnipotent,0.719,0.679,0.919,her şeye gücü yeten,2.94,1.33,1.31,1.41,1.26
12111,omnipresent,0.688,0.452,0.825,her yerde var olan,1.7,1.69,1.64,1.77,1.61
12112,omniscient,0.656,0.334,0.778,her şeyi bilen,2.2,1.36,1.33,1.39,1.33
12113,onboard,0.612,0.451,0.491,gemide,2.0,1.38,1.34,1.42,1.38
12114,oncologist,0.26,0.654,0.64,onkolog,1.43,2.05,2.04,2.12,1.95
12115,oncology,0.204,0.424,0.5,onkoloji,1.18,2.57,2.63,2.8,2.23
12116,oncoming,0.594,0.625,0.773,yaklaşan,1.68,1.68,1.66,1.79,1.61
12117,one,0.542,0.292,0.37,bir,2.3,1.29,1.27,1.33,1.27
12118,oneday,0.667,0.245,0.374,Bir gün,2.23,1.46,1.43,1.54,1.4
12119,onedge,0.479,0.552,0.4,sınırda,,,,,
12120,onelove,0.816,0.577,0.541,One Love,3.58,1.23,1.26,1.33,1.14
12121,oneness,0.745,0.272,0.72,birlik,3.21,1.27,1.27,1.36,1.19
12122,onerous,0.5,0.48,0.462,zahmetli,1.26,2.19,2.2,2.14,2.24
12123,oneself,0.66,0.337,0.483,kendini,2.29,1.34,1.31,1.37,1.33
12124,ongoing,0.674,0.484,0.556,devam eden,1.76,1.48,1.4,1.5,1.47
12125,onion,0.378,0.367,0.382,soğan,2.12,1.33,1.3,1.35,1.34
12126,onset,0.673,0.497,0.5,başlangıç,1.57,1.77,1.84,1.86,1.71
12127,onslaught,0.198,0.939,0.717,hücum,1.34,2.33,2.24,2.47,2.13
12128,onstage,0.719,0.673,0.583,Sahnede,2.2,1.43,1.38,1.5,1.38
12129,ontology,0.51,0.45,0.518,ontoloji,1.89,1.35,1.3,1.36,1.35
12130,onus,0.562,0.52,0.769,yük,1.68,1.42,1.36,1.42,1.44
12131,onward,0.667,0.538,0.741,ileri,2.21,1.33,1.3,1.37,1.31
12132,onyx,0.571,0.461,0.38,oniks,2.43,1.31,1.28,1.36,1.28
12133,oodles,0.49,0.374,0.446,ahmak,2.26,1.39,1.34,1.45,1.34
12134,oomph,0.449,0.613,0.315,ilgi,2.37,1.37,1.33,1.44,1.33
12135,ooze,0.344,0.577,0.333,sızmak,1.48,1.95,1.83,1.98,1.91
12136,oozing,0.238,0.515,0.427,sızma,1.5,1.96,1.83,2.0,1.91
12137,op,0.48,0.402,0.349,operasyon,1.71,1.49,1.46,1.52,1.51
12138,opacity,0.471,0.251,0.256,opaklık,1.72,1.41,1.36,1.41,1.44
12139,opal,0.623,0.479,0.379,opal,2.8,1.3,1.29,1.37,1.24
12140,opaque,0.344,0.265,0.342,opak,1.7,1.42,1.37,1.42,1.45
12141,ope,0.375,0.38,0.395,operasyon,1.71,1.47,1.39,1.45,1.51
12142,open,0.62,0.48,0.569,açık,3.08,1.26,1.27,1.33,1.2
12143,opener,0.584,0.526,0.377,açıcı,1.89,1.42,1.36,1.44,1.42
12144,opening,0.667,0.51,0.62,açılış,2.46,1.32,1.31,1.37,1.3
12145,openly,0.603,0.388,0.553,açıkça,1.75,1.57,1.42,1.48,1.71
12146,openness,0.837,0.561,0.667,açıklık,3.3,1.24,1.25,1.32,1.17
12147,opera,0.714,0.5,0.483,opera,2.34,1.34,1.3,1.38,1.31
12148,operate,0.582,0.69,0.691,işletmek,1.8,1.37,1.32,1.38,1.39
12149,operatic,0.375,0.452,0.627,opera,2.41,1.4,1.35,1.47,1.33
12150,operation,0.475,0.611,0.755,operasyon,1.29,2.36,2.26,2.42,2.21
12151,operational,0.562,0.57,0.679,operasyonel,1.89,1.44,1.39,1.49,1.41
12152,operations,0.48,0.549,0.798,operasyonlar,1.63,1.63,1.53,1.61,1.65
12153,operative,0.541,0.635,0.718,operatif,1.74,1.48,1.41,1.48,1.5
12154,operator,0.612,0.63,0.726,Şebeke,1.75,1.4,1.34,1.4,1.41
12155,ophthalmic,0.427,0.385,0.444,oftalmik,1.94,1.37,1.33,1.39,1.37
12156,ophthalmologist,0.552,0.389,0.491,göz doktoru,2.25,1.36,1.33,1.39,1.34
12157,opiate,0.281,0.594,0.598,afyon,1.6,1.65,1.63,1.66,1.66
12158,opinion,0.594,0.482,0.638,fikir,1.92,1.36,1.31,1.37,1.37
12159,opinionated,0.156,0.8,0.491,görüşlü,1.62,1.8,1.65,1.83,1.76
12160,opium,0.276,0.49,0.333,afyon,1.38,1.92,1.69,1.65,2.34
12161,opponent,0.08,0.741,0.716,rakip,1.36,2.29,2.06,2.27,2.26
12162,opportune,0.796,0.538,0.767,uygun,2.28,1.36,1.33,1.39,1.34
12163,opportunism,0.571,0.752,0.673,fırsatçılık,1.39,2.15,1.98,2.09,2.16
12164,opportunity,0.938,0.745,0.833,fırsat,3.02,1.28,1.27,1.35,1.22
12165,oppose,0.431,0.8,0.473,karşı çıkmak,1.43,1.92,1.65,1.64,2.3
12166,opposed,0.092,0.46,0.606,karşı,1.77,1.42,1.37,1.43,1.43
12167,opposing,0.188,0.66,0.518,karşıt,1.43,2.07,1.9,2.01,2.09
12168,opposite,0.235,0.545,0.408,karşısında,1.84,1.4,1.35,1.41,1.41
12169,opposites,0.281,0.518,0.462,karşıtlar,2.28,1.5,1.44,1.58,1.43
12170,opposition,0.135,0.729,0.592,muhalefet,1.35,2.16,2.03,2.1,2.2
12171,oppress,0.186,0.654,0.555,ezmek,1.13,2.59,2.39,2.41,2.76
12172,oppressed,0.119,0.64,0.259,ezilen,1.22,2.49,2.53,2.57,2.33
12173,oppression,0.08,0.673,0.615,Baskı,1.18,2.61,2.72,2.79,2.32
12174,oppressive,0.276,0.59,0.667,baskıcı,1.24,2.47,2.58,2.61,2.26
12175,oppressor,0.16,0.776,0.629,zalim,1.17,2.66,2.72,2.82,2.36
12176,ops,0.417,0.55,0.528,operasyonlar,1.75,1.45,1.4,1.47,1.46
12177,opt,0.51,0.471,0.345,tercih,1.78,1.37,1.32,1.38,1.4
12178,optic,0.663,0.384,0.594,optik,1.86,1.38,1.34,1.4,1.38
12179,optical,0.677,0.311,0.542,optik,2.15,1.33,1.3,1.36,1.32
12180,optics,0.562,0.286,0.58,optik,2.65,1.24,1.25,1.3,1.2
12181,optimism,0.949,0.565,0.814,iyimserlik,3.17,1.27,1.28,1.34,1.22
12182,optimist,0.875,0.539,0.787,iyimser,2.98,1.28,1.3,1.34,1.24
12183,optimistic,0.979,0.58,0.821,iyimser,3.03,1.29,1.29,1.35,1.24
12184,optimum,0.892,0.469,0.808,Optimum,3.44,1.18,1.21,1.26,1.12
12185,option,0.512,0.427,0.359,seçenek,2.35,1.3,1.27,1.32,1.28
12186,optional,0.755,0.35,0.44,isteğe bağlı,1.86,1.37,1.31,1.38,1.38
12187,optionally,0.365,0.405,0.481,isteğe bağlı olarak,1.87,1.35,1.3,1.36,1.36
12188,options,0.622,0.327,0.473,seçenekler,2.5,1.29,1.27,1.33,1.26
12189,optometrist,0.446,0.455,0.668,optometrist,2.23,1.35,1.32,1.37,1.34
12190,opulence,0.62,0.615,0.648,zenginlik,3.29,1.25,1.27,1.32,1.2
12191,opulent,0.562,0.66,0.66,zengin,2.92,1.29,1.28,1.35,1.24
12192,opus,0.458,0.368,0.391,başyapıt,1.84,1.4,1.35,1.43,1.41
12193,oracle,0.552,0.531,0.67,kehanet,2.1,1.35,1.32,1.38,1.34
12194,oral,0.53,0.448,0.375,Oral,1.76,1.55,1.48,1.59,1.52
12195,orange,0.646,0.132,0.296,Portakal,2.63,1.3,1.29,1.34,1.27
12196,orange juice,0.719,0.343,0.445,Portakal suyu,,,,,
12197,orangutan,0.43,0.56,0.471,orangutan,3.22,1.25,1.27,1.32,1.19
12198,oration,0.646,0.315,0.683,nutuk,1.86,1.44,1.39,1.46,1.44
12199,orator,0.667,0.375,0.682,hatip,1.9,1.38,1.33,1.4,1.38
12200,oratory,0.602,0.472,0.693,hitabet,2.22,1.34,1.31,1.38,1.33
12201,orb,0.463,0.37,0.444,küre,1.84,1.45,1.39,1.5,1.43
12202,orbit,0.561,0.422,0.575,yörünge,2.02,1.4,1.36,1.44,1.38
12203,orbital,0.458,0.451,0.559,orbital,1.89,1.39,1.35,1.41,1.38
12204,orbiting,0.52,0.643,0.554,yörünge,1.77,1.53,1.46,1.6,1.47
12205,orbs,0.469,0.355,0.482,küreler,2.43,1.42,1.37,1.51,1.35
12206,orc,0.24,0.51,0.388,ork,1.5,1.85,1.73,1.83,1.88
12207,orchard,0.76,0.269,0.333,meyve bahçesi,3.04,1.23,1.25,1.28,1.2
12208,orchestra,0.708,0.5,0.664,orkestra,2.84,1.29,1.28,1.34,1.25
12209,orchid,0.84,0.345,0.382,orkide,3.27,1.22,1.25,1.28,1.18
12210,ordained,0.735,0.409,0.731,emredilmiş,1.9,1.4,1.35,1.43,1.4
12211,ordeal,0.344,0.539,0.529,çile,1.29,2.36,2.47,2.51,2.15
12212,order,0.78,0.295,0.814,emir,1.97,1.34,1.3,1.37,1.34
12213,orderly,0.844,0.24,0.661,düzenli,2.63,1.3,1.28,1.34,1.27
12214,ordinance,0.615,0.452,0.776,yönetmelik,1.74,1.45,1.39,1.45,1.47
12215,ordinary,0.375,0.312,0.286,sıradan,1.88,1.39,1.34,1.41,1.39
12216,ordination,0.688,0.49,0.765,emretmek,1.84,1.39,1.34,1.41,1.4
12217,ordnance,0.354,0.825,0.679,mühimmat,1.58,1.71,1.59,1.68,1.73
12218,ore,0.5,0.333,0.356,cevher,1.8,1.39,1.33,1.4,1.41
12219,oregano,0.596,0.327,0.25,kekik,3.09,1.25,1.27,1.32,1.21
12220,organ,0.51,0.469,0.538,organ,1.67,1.63,1.57,1.6,1.68
12221,organic,0.719,0.343,0.535,organik,2.31,1.32,1.29,1.35,1.31
12222,organism,0.457,0.559,0.8,organizma,2.64,1.33,1.33,1.39,1.28
12223,organist,0.74,0.469,0.669,orgcu,1.88,1.39,1.34,1.41,1.39
12224,organization,0.81,0.535,0.851,organizasyon,2.26,1.34,1.3,1.37,1.32
12225,organize,0.802,0.655,0.781,düzenlemek,2.91,1.25,1.25,1.3,1.22
12226,organized,0.816,0.337,0.746,organize,2.54,1.31,1.3,1.36,1.28
12227,organizer,0.604,0.577,0.846,organizatör,2.13,1.34,1.3,1.36,1.33
12228,orgasm,0.844,0.863,0.676,orgazm,2.74,1.75,1.63,2.08,1.42
12229,orgies,0.388,0.953,0.433,seks partileri,1.71,1.98,1.8,2.23,1.72
12230,orgy,0.346,0.962,0.536,seks partisi,1.83,1.93,1.75,2.24,1.64
12231,orient,0.667,0.422,0.667,yönlendirmek,2.13,1.32,1.29,1.35,1.31
12232,oriental,0.592,0.409,0.598,oryantal,3.05,1.27,1.27,1.35,1.22
12233,orientation,0.667,0.454,0.686,oryantasyon,2.36,1.32,1.3,1.35,1.31
12234,orifice,0.448,0.355,0.443,delik,1.57,1.67,1.59,1.65,1.71
12235,origami,0.684,0.276,0.294,Japon kağıt katlama sanatı,2.3,1.32,1.29,1.37,1.29
12236,origin,0.729,0.435,0.591,Menşei,1.89,1.37,1.32,1.39,1.37
12237,original,0.765,0.48,0.746,orijinal,2.89,1.26,1.27,1.3,1.23
12238,originality,0.898,0.5,0.824,özgünlük,3.24,1.26,1.26,1.34,1.19
12239,originate,0.702,0.5,0.866,kaynaklanmak,1.91,1.37,1.33,1.39,1.37
12240,origination,0.76,0.443,0.604,köken,1.77,1.44,1.39,1.46,1.44
12241,originator,0.592,0.51,0.868,yaratıcı,2.12,1.35,1.32,1.38,1.34
12242,ornament,0.561,0.373,0.441,süs,3.01,1.24,1.25,1.29,1.21
12243,ornamental,0.663,0.392,0.46,süs,2.86,1.26,1.27,1.31,1.23
12244,ornamentation,0.663,0.471,0.472,süsleme,2.68,1.28,1.28,1.32,1.26
12245,ornamented,0.677,0.35,0.49,süslü,2.48,1.31,1.3,1.35,1.29
12246,ornate,0.812,0.356,0.5,süslü,2.23,1.36,1.33,1.4,1.34
12247,ornery,0.361,0.52,0.509,sıradanlık,1.38,1.98,1.72,1.71,2.34
12248,orphan,0.133,0.388,0.14,yetim,1.18,2.49,2.68,2.64,2.25
12249,orphanage,0.184,0.439,0.425,yetimhane,1.45,2.05,2.11,2.19,1.87
12250,orphaned,0.062,0.43,0.228,yetim,1.17,2.43,2.56,2.44,2.39
12251,orthodontist,0.469,0.615,0.564,ortodontist,1.82,1.43,1.38,1.45,1.43
12252,orthodox,0.388,0.471,0.647,Ortodoks,1.78,1.43,1.38,1.46,1.43
12253,orthodoxy,0.271,0.388,0.612,ortodoksluk,1.76,1.43,1.38,1.45,1.45
12254,orthogonal,0.5,0.314,0.54,dikey,1.77,1.4,1.34,1.4,1.41
12255,orthopedic,0.406,0.346,0.473,ortopedik,1.67,1.55,1.46,1.51,1.59
12256,oscillate,0.449,0.58,0.397,salınım yapmak,1.74,1.78,1.64,1.89,1.64
12257,oscillating,0.469,0.548,0.402,salınan,2.13,1.45,1.39,1.53,1.39
12258,oscillation,0.562,0.433,0.431,salınım,1.91,1.84,1.77,1.96,1.68
12259,oscillatory,0.375,0.52,0.48,salınımlı,1.81,1.53,1.47,1.61,1.46
12260,ostensible,0.542,0.549,0.585,göstermelik,1.66,1.6,1.57,1.63,1.58
12261,ostensibly,0.473,0.529,0.509,görünüşte,2.08,1.44,1.39,1.45,1.43
12262,ostentatious,0.479,0.794,0.648,gösterişli,1.64,1.72,1.55,1.68,1.75
12263,ostracized,0.115,0.69,0.377,dışlanmış,1.21,2.4,2.46,2.42,2.35
12264,ostrich,0.592,0.382,0.241,devekuşu,1.85,1.42,1.37,1.44,1.42
12265,other,0.472,0.23,0.259,başka,2.09,1.35,1.32,1.38,1.34
12266,otter,0.439,0.216,0.339,su samuru,3.25,1.23,1.26,1.31,1.18
12267,otto,0.427,0.425,0.404,otto,1.89,1.34,1.29,1.35,1.35
12268,ottoman,0.531,0.337,0.444,Osmanlı,2.35,1.32,1.29,1.35,1.31
12269,ought,0.438,0.511,0.434,gerekir,1.93,1.35,1.31,1.37,1.35
12270,ounce,0.531,0.255,0.288,ons,1.96,1.37,1.33,1.39,1.38
12271,oust,0.296,0.716,0.444,devirmek,1.47,1.87,1.57,1.63,2.17
12272,outage,0.306,0.684,0.438,Kesinti,1.59,1.76,1.8,1.88,1.67
12273,outback,0.5,0.324,0.43,taşra,2.07,1.42,1.37,1.47,1.39
12274,outbid,0.594,0.622,0.54,daha fazla teklif vermek,1.71,1.64,1.53,1.67,1.61
12275,outboard,0.448,0.491,0.456,dıştan takma,1.77,1.4,1.34,1.4,1.41
12276,outbreak,0.26,0.632,0.472,salgın,1.2,2.64,2.65,2.89,2.3
12277,outburst,0.209,0.802,0.528,patlama,1.42,2.21,2.14,2.39,1.97
12278,outcast,0.153,0.449,0.353,dışlanmış,1.2,2.41,2.5,2.48,2.31
12279,outcome,0.615,0.472,0.685,sonuç,1.93,1.42,1.38,1.46,1.41
12280,outcry,0.271,0.773,0.718,haykırmak,1.5,2.22,2.0,2.5,1.88
12281,outdated,0.167,0.236,0.226,modası geçmiş,1.31,2.17,2.32,2.18,2.17
12282,outdo,0.771,0.75,0.873,geçmek,1.83,1.53,1.43,1.59,1.47
12283,outdoor,0.814,0.256,0.447,dış mekan,3.44,1.22,1.25,1.32,1.14
12284,outdoors,0.781,0.444,0.453,açık havada,3.73,1.18,1.23,1.28,1.1
12285,outer,0.552,0.471,0.456,dış,1.76,1.36,1.3,1.37,1.38
12286,outfit,0.76,0.49,0.566,kıyafet,2.54,1.32,1.3,1.38,1.28
12287,outgoing,0.65,0.472,0.538,dışa dönük,3.35,1.25,1.28,1.34,1.19
12288,outgrow,0.51,0.529,0.722,büyümek,1.78,1.41,1.36,1.42,1.42
12289,outgrowth,0.771,0.62,0.688,büyüme,1.73,1.51,1.45,1.54,1.48
12290,outhouse,0.281,0.519,0.255,ek bina,1.65,1.58,1.52,1.58,1.59
12291,outing,0.771,0.672,0.634,gezi,2.73,1.31,1.3,1.38,1.27
12292,outlandish,0.448,0.737,0.657,tuhaf,1.86,2.03,1.94,2.17,1.83
12293,outlast,0.62,0.786,0.685,uzun ömürlü,2.22,1.35,1.33,1.38,1.34
12294,outlaw,0.255,0.662,0.482,haydut,1.36,2.35,2.17,2.46,2.16
12295,outlet,0.61,0.396,0.245,çıkış,2.13,1.33,1.29,1.35,1.32
12296,outline,0.542,0.365,0.509,anahat,1.86,1.35,1.3,1.37,1.36
12297,outlines,0.656,0.402,0.651,ana hatlar,1.82,1.39,1.35,1.41,1.4
12298,outlive,0.565,0.769,0.724,uzun yaşamak,2.24,1.38,1.36,1.41,1.37
12299,outlook,0.83,0.525,0.625,görünüm,2.5,1.3,1.28,1.33,1.28
12300,outlying,0.46,0.562,0.503,uzak,1.67,1.5,1.44,1.48,1.54
12301,outnumber,0.347,0.615,0.577,sayıca fazla,1.4,2.05,2.01,2.0,2.08
12302,outpatient,0.26,0.4,0.395,ayakta tedavi,1.7,1.49,1.44,1.49,1.51
12303,outpost,0.635,0.571,0.675,ileri karakol,1.74,1.43,1.37,1.44,1.44
12304,outpouring,0.562,0.685,0.552,dökülen,2.34,1.46,1.4,1.58,1.37
12305,output,0.604,0.389,0.434,çıktı,1.81,1.39,1.33,1.4,1.39
12306,outrage,0.06,0.689,0.542,öfke,1.44,2.2,2.01,2.35,1.97
12307,outraged,0.156,0.696,0.538,öfkeli,1.29,2.45,2.36,2.58,2.25
12308,outrageous,0.153,0.945,0.713,çirkin,1.52,2.27,2.15,2.36,2.1
12309,outrank,0.653,0.643,0.817,daha önemli olmak,1.68,1.68,1.58,1.68,1.68
12310,outreach,0.54,0.462,0.672,sosyal yardım,2.09,1.36,1.32,1.39,1.35
12311,outright,0.767,0.396,0.755,düpedüz,1.4,2.08,2.02,2.01,2.15
12312,outrun,0.531,0.833,0.573,kaçmak,1.93,1.51,1.44,1.59,1.45
12313,outset,0.75,0.5,0.582,başlangıç,1.74,1.47,1.42,1.49,1.47
12314,outsider,0.398,0.549,0.447,yabancı,1.74,1.48,1.39,1.45,1.53
12315,outskirts,0.474,0.519,0.312,eteklerinde,1.82,1.39,1.34,1.4,1.4
12316,outsmart,0.673,0.657,0.864,zeki,1.89,1.55,1.46,1.6,1.52
12317,outspoken,0.582,0.413,0.667,açık sözlü,2.11,1.57,1.44,1.6,1.53
12318,outstanding,0.898,0.76,0.896,Muhteşem,3.38,1.24,1.26,1.32,1.18
12319,outstretched,0.448,0.481,0.519,uzanmış,2.08,1.38,1.34,1.42,1.37
12320,outward,0.449,0.439,0.365,dışa doğru,2.33,1.32,1.3,1.35,1.31
12321,outwards,0.44,0.472,0.4,dışa doğru,1.87,1.38,1.33,1.4,1.39
12322,outweigh,0.486,0.6,0.682,daha ağır gelmek,1.7,1.58,1.48,1.55,1.62
12323,outwit,0.302,0.755,0.356,atlatmak,1.8,1.48,1.43,1.51,1.48
12324,oval,0.417,0.28,0.33,oval,1.81,1.37,1.32,1.38,1.38
12325,ovary,0.469,0.399,0.28,yumurtalık,1.69,1.45,1.4,1.45,1.47
12326,ovate,0.385,0.286,0.368,oval,1.72,1.41,1.37,1.41,1.44
12327,ovation,0.719,0.758,0.75,alkış,1.92,1.43,1.37,1.48,1.4
12328,oven,0.583,0.425,0.606,fırın,2.08,1.34,1.3,1.36,1.34
12329,overactive,0.667,0.885,0.592,aşırı aktif,1.54,1.91,1.85,1.98,1.81
12330,overall,0.583,0.37,0.67,etraflı,1.98,1.35,1.31,1.38,1.35
12331,overalls,0.5,0.392,0.373,tulum,2.08,1.34,1.3,1.36,1.33
12332,overbearing,0.323,0.833,0.861,zorba,1.24,2.34,2.12,2.13,2.57
12333,overburden,0.115,0.755,0.546,aşırı yük,1.36,2.04,1.95,1.92,2.18
12334,overcast,0.417,0.25,0.475,bulutlu,1.79,1.45,1.41,1.47,1.46
12335,overcharged,0.276,0.78,0.569,fazla ücret,1.3,2.3,2.23,2.24,2.36
12336,overcoat,0.594,0.265,0.43,palto,1.83,1.36,1.31,1.37,1.37
12337,overcome,0.719,0.689,0.848,üstesinden gelmek,2.6,1.33,1.32,1.38,1.29
12338,overcoming,0.842,0.765,0.855,üstesinden gelmek,1.94,1.63,1.67,1.69,1.59
12339,overcrowded,0.292,0.52,0.491,aşırı kalabalık,1.17,2.5,2.59,2.57,2.38
12340,overdo,0.156,0.864,0.602,abartmak,1.48,1.86,1.61,1.64,2.14
12341,overdose,0.11,0.82,0.468,aşırı doz,1.22,2.49,2.64,2.65,2.25
12342,overdrive,0.303,0.715,0.732,aşırı hız,1.86,1.78,1.62,1.96,1.58
12343,overdue,0.125,0.427,0.259,gecikmiş,1.35,2.21,2.15,2.21,2.18
12344,overestimate,0.367,0.796,0.444,abartmak,1.67,1.61,1.5,1.62,1.6
12345,overestimated,0.344,0.646,0.527,abartılmış,1.72,1.63,1.56,1.7,1.57
12346,overflow,0.398,0.792,0.5,taşma,1.63,1.67,1.61,1.7,1.65
12347,overflowing,0.439,0.796,0.635,taşan,1.77,1.82,1.77,1.91,1.71
12348,overgrown,0.333,0.5,0.369,büyümüş,1.31,2.17,2.11,2.08,2.25
12349,overgrowth,0.417,0.79,0.673,aşırı büyüme,1.38,2.04,2.08,2.04,2.04
12350,overhanging,0.698,0.755,0.812,sarkan,1.67,1.55,1.47,1.56,1.55
12351,overhaul,0.5,0.651,0.491,elden geçirmek,1.79,1.48,1.4,1.48,1.5
12352,overhead,0.344,0.7,0.538,genel gider,1.76,1.42,1.37,1.43,1.44
12353,overhear,0.65,0.365,0.58,kulak misafiri olmak,1.6,1.77,1.65,1.78,1.76
12354,overheated,0.25,0.598,0.547,aşırı ısınmış,1.3,2.36,2.29,2.45,2.22
12355,overjoyed,0.908,0.708,0.755,çok memnun,3.57,1.29,1.31,1.4,1.19
12356,overkill,0.379,0.861,0.678,aşırı yükleme,1.29,2.36,2.29,2.49,2.16
12357,overlaid,0.62,0.61,0.676,üst üste bindirilmiş,1.77,1.4,1.34,1.41,1.41
12358,overlap,0.594,0.615,0.627,üst üste gelmek,1.74,1.41,1.36,1.42,1.43
12359,overlapping,0.595,0.578,0.684,örtüşen,1.78,1.41,1.36,1.42,1.42
12360,overlay,0.564,0.596,0.749,kaplama,1.78,1.37,1.32,1.38,1.39
12361,overload,0.381,0.69,0.652,aşırı yükleme,1.32,2.25,2.2,2.29,2.18
12362,overlook,0.292,0.418,0.415,görmezden gelmek,1.73,1.51,1.42,1.47,1.57
12363,overlord,0.75,0.755,0.932,derebeyi,1.33,2.26,2.08,2.24,2.24
12364,overlying,0.5,0.519,0.691,örten,1.72,1.43,1.37,1.43,1.45
12365,overpaid,0.429,0.67,0.585,fazla ödeme,1.4,2.03,1.91,1.86,2.25
12366,overpass,0.562,0.561,0.565,üst geçit,1.75,1.45,1.4,1.46,1.46
12367,overplayed,0.224,0.798,0.586,fazla oynanmış,1.48,1.93,1.9,1.96,1.88
12368,overpower,0.448,0.859,0.783,baskın,1.4,2.16,1.92,2.09,2.22
12369,overpowering,0.392,0.779,0.589,baskın,1.38,2.23,2.15,2.28,2.11
12370,overpriced,0.271,0.556,0.472,yüksek fiyatlı,1.25,2.35,2.3,2.28,2.41
12371,overprotective,0.448,0.673,0.741,aşırı korumacı,1.27,2.39,2.16,2.27,2.49
12372,overrated,0.312,0.63,0.482,abartılmış,1.28,2.41,2.32,2.4,2.38
12373,overreact,0.306,0.912,0.471,aşırı tepki vermek,1.38,2.3,2.21,2.47,2.06
12374,override,0.316,0.491,0.529,geçersiz kılmak,1.71,1.49,1.38,1.43,1.57
12375,overriding,0.24,0.49,0.384,geçersiz kılmak,1.69,1.55,1.47,1.54,1.56
12376,overrule,0.224,0.412,0.429,geçersiz kılmak,1.63,1.62,1.52,1.54,1.75
12377,overrun,0.271,0.764,0.598,aşmak,1.27,2.44,2.42,2.61,2.2
12378,oversee,0.541,0.649,0.778,nezaret etmek,1.91,1.37,1.32,1.39,1.37
12379,overseer,0.552,0.52,0.873,gözetmen,1.5,1.87,1.71,1.79,1.94
12380,overshadow,0.333,0.549,0.654,gölgede bırakmak,1.61,1.83,1.69,1.85,1.78
12381,oversight,0.385,0.618,0.723,gözetim,1.47,1.85,1.73,1.75,1.99
12382,oversized,0.552,0.54,0.679,büyük boy,1.75,1.49,1.41,1.52,1.47
12383,overslept,0.408,0.315,0.3,uyuyakalmış,1.64,1.73,1.67,1.79,1.67
12384,overstate,0.281,0.779,0.635,abartmak,1.63,1.67,1.56,1.61,1.73
12385,overstock,0.344,0.592,0.589,stok fazlası,1.76,1.42,1.35,1.41,1.45
12386,overt,0.708,0.326,0.607,açık,1.62,1.6,1.55,1.59,1.65
12387,overtake,0.573,0.62,0.718,sollamak,1.59,1.79,1.63,1.81,1.76
12388,overtaken,0.594,0.552,0.702,geçilmiş,1.6,1.8,1.73,1.93,1.66
12389,overthemoon,0.643,0.531,0.481,aşırıya kaçmak,2.77,1.3,1.3,1.35,1.27
12390,overthinker,0.43,0.606,0.552,fazla düşünen,1.25,2.46,2.33,2.46,2.42
12391,overthinking,0.408,0.761,0.525,İyice düşünmek,1.4,2.16,2.06,2.18,2.1
12392,overthrow,0.26,0.868,0.62,devirmek,1.43,2.08,1.84,1.97,2.19
